指标,任务执行人,和yakit得分差异点,产品名称,模块
客户端支持http流量拦截与修改，支持自动生成SSL证书，用户可手动在客户端中导入该证书，并设置代理，从而实现HTTPS流量拦截与修改。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,流量交互劫持能力
客户端支持请求/响应双向拦截。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,流量交互劫持能力
客户端支持流量自动放行、手动劫持、丢弃。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,流量交互劫持能力
客户端支持配置匹配规则（匹配URL、Host、Header等要素），自动放行流量。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,流量交互劫持能力
客户端在劫持网络流量后，支持篡改传输中的报文内容，再将其转发给目标服务器。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,报文修改重放能力
客户端在劫持网络流量后，支持选择任意请求报文，重复发送给服务器。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,报文修改重放能力
客户端支持查看所有经过代理的完整请求与响应报文。,徐子跃,,靖云甲web应用漏洞扫描系统,历史流量记录功能力
客户端支持关键字、正则、状态码维度进行匹配，筛选目标请求与响应报文。,徐子跃,,靖云甲web应用漏洞扫描系统,历史流量记录功能力
客户端通用漏洞检测能力：支持人工选择测试流量报文，发送至对应通用漏洞扫描器，进行通用漏洞检测(SQL注入、XSS等)，并支持批量扫描，检测完成后输出结果。,徐子跃,,靖云甲web应用漏洞扫描系统,漏洞检测能力
客户端专项漏洞检测能力：支持人工选择测试目标URL/IP/域名，发送至对应专项漏洞扫描器，进行专项漏洞检测(fastjson、shiro等)，并支持批量扫描，检测完成后输出结果。,徐子跃,,靖云甲web应用漏洞扫描系统,漏洞检测能力
客户端支持生成安全漏洞测试报告，格式需支持Word、PDF或HTML。报告内容须包含漏洞详细参数，原始http请求/响应、风险评级及修复建议。,徐子跃,,靖云甲web应用漏洞扫描系统,漏洞检测能力
客户端支持高并发爆破测试，支持挂载字典。,徐子跃,,靖云甲web应用漏洞扫描系统,爆破测试能力
报文差异对比能力,徐子跃,,靖云甲web应用漏洞扫描系统,报文差异对比能力
客户端支持主流编/解码格式如Base64、HTML、URL、双重URL、十六进制、Unicode（含中文）等，以及哈希算法（MD5/SHA1/SHA-256/SHA-512）的转换。,徐子跃,,靖云甲web应用漏洞扫描系统,编/解码能力
客户端和服务端支持新增、修改、删除仓库插件以及对分类分组，支持一键批量导入插件。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,团队协作/共享能力
客户端支持团队多人协作，可通过连接同一服务端，实现测试数据、测试结果共享。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,团队协作/共享能力
客户端支持密令项目分享，多用户同时可通过输入密令导入完整项目环境，继续完成项目工作。,徐子跃,强制得分点不可修改,靖云甲web应用漏洞扫描系统,团队协作/共享能力
