序号,大类,小类,具体功能描述
1.0,功能性要求,*流量交互劫持能力,客户端支持http流量拦截与修改，支持自动生成SSL证书，用户可手动在客户端中导入该证书，并设置代理，从而实现HTTPS流量拦截与修改。
2.0,,,客户端支持请求/响应双向拦截。
3.0,,,客户端支持流量自动放行、手动劫持、丢弃。
4.0,,,客户端支持配置匹配规则（匹配URL、Host、Header等要素），自动放行流量。
5.0,,*报文修改重放能力,客户端在劫持网络流量后，支持篡改传输中的报文内容，再将其转发给目标服务器。
6.0,,,客户端在劫持网络流量后，支持选择任意请求报文，重复发送给服务器。
7.0,,历史流量记录功能,客户端支持查看所有经过代理的完整请求与响应报文。
8.0,,,客户端支持关键字、正则、状态码、Hostname维度进行匹配，筛选目标请求与响应报文。
9.0,,漏洞检测能力,客户端通用漏洞检测能力：支持人工选择测试流量报文，发送至对应通用漏洞扫描器，进行通用漏洞检测(SQL注入、XSS等)，并支持批量扫描，检测完成后输出结果。
10.0,,,客户端专项漏洞检测能力：支持人工选择测试目标URL/IP/域名，发送至对应专项漏洞扫描器，进行专项漏洞检测(fastjson、shiro等)，并支持批量扫描，检测完成后输出结果。
11.0,,,客户端支持生成安全漏洞测试报告，格式需支持Word、PDF或HTML。报告内容须包含漏洞详细参数，原始http请求/响应、风险评级及修复建议。
12.0,,爆破测试能力,客户端支持高并发爆破测试，支持挂载字典。
13.0,,报文差异对比能力,客户端提供请求、响应、自定义文本对比模块，支持按文本、字节对多个请求/响应报文进行可视化差异高亮比对
14.0,,编/解码能力,客户端支持主流编/解码格式如Base64、HTML、URL、双重URL、十六进制、Unicode（含中文）等。
15.0,,,客户端支持SM1/SM2/SM3/SM4等国密算法加解密，支持AES、RSA等对称/非对称加解密。
16.0,,插件管理能力,客户端支持插件编写、调试、日志输出功能。
17.0,,,客户端支持不同插件间相互调用，插件运行结束后，其输出可作为下一个插件的输入，以实现链路的可视化展示。
18.0,,,客户端和服务端支持查询、新增、修改、删除仓库插件以及对分类分组，支持一键批量导入插件。
19.0,,*团队协作/共享能力,客户端支持团队多人协作，可通过连接同一服务端，实现测试数据、测试结果共享。
20.0,,,服务端支持自定义角色权限，支持定义管理员、测试人员等角色。
21.0,,项目管理能力,客户端支持项目新建、编辑、删除、查看等操作，服务端支持创建项目组。
22.0,,,客户端支持导入、导出功能，支持加密导入导出项目。
23.0,,安全概览,客户端支持查看本地项目的测试记录，包括历史测试流量、发现的测试漏洞结果。
24.0,,,服务端支持查看所纳管客户端测试记录，包括历史测试流量、发现的测试漏洞结果。
25.0,非功能性要求,可靠性要求,产品满足具备稳定运行能力，在多项目并行测试及多用户操作场景下能够持续稳定运行，在长时间运行过程中不出现崩溃或严重性能退化情况。
26.0,,*安全性要求,供应商应提供针对产品的安全检测或风险评估报告，并对报告中发现的问题进行处置。
,,,注：如采购产品后续需面向互联网提供服务，需要求供应商在产品上线前提供第三方安全检测报告）
27.0,,,产品如涉及密码技术，所使用加密算法应满足中国工商银行《应用安全技术规范》中加密算法（国密SM系列算法、AES、RSA）的要求。
28.0,,,产品应提供用户权限管理功能，控制用户根据既定的访问权限和访问方式进行访问。
29.0,,,用户初始设置或变更静态密码时，对其进行复杂度检查
30.0,,,不应在配置文件、数据库、程序代码等载体中明文存储用户密码。
31.0,,,对于CVE、CNVD等公开渠道通告的产品本身的漏洞，供应商应提供已知漏洞修复的相关说明；对于产品使用的第三方或开源组件的安全漏洞，供应商应提供已知漏洞修复的相关说明。
